Arabic,English
sukuran,thank you
allah yatika,god bless
Ana,I
shaher,month
hayda bayye,This is my father
hayde sitte,grandma
bint,daughter
ibn,son
nahna shufna,We read
inta bitshuf,you read (masucline)
inte bitshufe,you read (femine)
into bitsufa,they read
nahna am nshuf,we are reading
Bayte,Home
mukkayye,AC
kanaseye,Sofa
jeffeye,Heater
al ared,Floor
furun,Stove
 barad,Fridge
Lhaf,Blanket
badde may,I want water
badde ekol,I want to eat
badde ruh al madarase,I want to go to the school
samak,Fish
 lahme,Meat
ghassil ,Wash
abyad,White
azra ,Blue
asfar ,Yellow
ahmar ,Red
aswad ,Black
birdane ,Orange
alam ,Pencil
se'ah ,Clock/Watch
daftar ,Notebook
jarride,Newspaper
mastarah ,Ruler
yislamo ,Thank you
rasif,Pavement
shere,Street
